Sr_No,Hospital_Name,Address_Original_First_Line,Location,District,State,Pincode,State_ID,District_ID,Latitude,Longitude,coords_valid
1,Chakraborty Multi Speciality Hospital,Near Dollygunj Junction,Near Dollygunj Junction,South Andaman,Andaman and Nicobar Islands,744101,35,640,11.6357989,92.7120575,True
2,Inhs Dhanvantri,Medical Board Office,Medical Board Office,South Andaman,Andaman and Nicobar Islands,744101,35,640,11.8311681,92.6586401,True
3,Maricar Hospital,Near Masjid,Near Masjid,South Andaman,Andaman and Nicobar Islands,744103,35,640,11.8311681,92.6586401,True
4,Pillar Health Centre,"Lamba Line, P.B. No. 526","Lamba Line, P.B. No. 526",South Andaman,Andaman and Nicobar Islands,744103,35,640,11.6498468,92.7294624,True
5,"G B Pant Hospital, Port Blair","GB Pant Road, City Centre, Port Blair","GB Pant Road, City Centre, Port Blair",South Andaman,Andaman and Nicobar Islands,744103,35,640,11.6233774,92.7264828,True
6,"Care Hospital, Banjara","Road No.1, Banjara Hills","Road No.1, Banjara Hills",Hyderabad,Andhra Pradesh,500034,28,,17.4274003,78.4311174,True
7,Aasha Hospitals,"7/201, Court Road","7/201, Court Road Anantapur 515001  Anantapur",Anantapur,Andhra Pradesh,515001,28,553,14.6795736,77.592469,True
9,Baby Hospital,"Hyma Test Tube Baby and Research Centre, Baby Hospital Complex","Hyma Test Tube Baby and Research Centre, Baby Hospital Complex, Sainagar,Anantapur",Anantapur,Andhra Pradesh,515001,28,553,14.6818877,77.6005911,True
10,Dr Akbar Eye Hospital And Laser Centre,"12-3-234, 6Th Cross Sai Nagar","12-3-234, 6Th Cross Sai Nagar Anantapur 515001  Anantapur",Anantapur,Andhra Pradesh,515001,28,553,14.6723351,77.6018211,True
12,Hrudaya Children Hospital,Sai Nagar Iind Cross,"Sai Nagar Iind Cross,Anantapur",Anantapur,Andhra Pradesh,515001,28,553,14.6749908,77.6032432,True
13,"Jeevana Jyothi Hospitals Ltd.,","#15-381, Kamala Nagar","15-381, Kamala Nagar,.",Anantapur,Andhra Pradesh,515001,28,553,17.4738037,78.5641765,True
15,Meda Nursing Home,Railway Station Road,Railway Station Road,Anantapur,Andhra Pradesh,515001,28,553,14.6818877,77.6005911,True
16,Mnr Nursing Home,"12/3-269, Sai Nagar, 6Th Cross","12/3-269, Sai Nagar, 6Th Cross, Anantapur",Anantapur,Andhra Pradesh,515001,28,553,14.6723351,77.6018211,True
17,Mythri Hospitals,D No: 15/721 Kamala Nagar,D No: 15/721 Kamala Nagar Anantapur 515001  Anantapur,Anantapur,Andhra Pradesh,515001,28,553,14.6867872,77.5832307,True
18,Padmavathi Hospital,"Aravinda Nagar, 2 Nd Cross","Aravinda Nagar, 2 Nd Cross",Anantapur,Andhra Pradesh,515001,28,553,15.3474564,75.1253824,True
19,Pavani Multi Speciality Hospital,"12-2-979,3Rd Cross, Sai Nagar","12-2-979,3Rd Cross, Sai Nagar, Anantapur",Anantapur,Andhra Pradesh,515001,28,553,14.6742267,77.6025251,True
20,Prasanthi Nursing Home,"#346, Court Road","346, Court Road,.",Anantapur,Andhra Pradesh,515001,28,553,14.6818877,77.6005911,True
21,Priya Multispeciality Hospital,"#12/2/991, Sai Nagar,Main Road","12/2/991, Sai Nagar,Main Road, Anantpur",Anantapur,Andhra Pradesh,515001,28,553,14.6723351,77.6018211,True
22,Ravitej Nursing Home,"15-16, Kamala Nagar","15-16, Kamala Nagar, Anantapur",Anantapur,Andhra Pradesh,515001,28,553,14.6805847,77.6000775,True
23,Santhi Nursing Home,"Near R.T.C, Bus Stand","Near R.T.C, Bus Stand, Anantapur",Anantapur,Andhra Pradesh,515001,28,553,13.9860276,77.7658783,True
